label,area,bbox-0,bbox-1,bbox-2,bbox-3,major_axis_length,minor_axis_length,eccentricity,perimeter,solidity,area_um2,area_nm2,equiv_diameter_nm,major_axis_length_nm,minor_axis_length_nm,bbox_height_px,bbox_width_px,bbox_height_nm,bbox_width_nm,bbox_major_nm,bbox_minor_nm,aspect_ratio,fraction_of_total_grain_area,sample_id,field_of_view_area_um2,masked_area_um2,masked_area_fraction,grain_area_fraction_of_total_grain_area,grain_area_fraction_of_fov,area_rank
331,5.0,106,101,110,103,4.743365517193277,1.3492529674978493,0.9586907114045357,4.207106781186548,0.8333333333333334,0.0019073486328125,1907.3486328125,49.27993207070625,92.6438577576812,26.352597021442367,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,60
333,4.0,107,19,109,21,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,109
334,6.0,107,90,111,92,4.363338213437162,1.65500979239906,0.9252741613028527,5.0,0.8571428571428571,0.002288818359375,2288.818359375,53.983460854896165,85.22144948119457,32.32441000779414,4,2,78.125,39.0625,78.125,39.0625,2.0,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,39
336,5.0,107,175,110,177,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,60.515364784490885,34.938562148434215,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,61
338,5.0,108,41,111,43,3.098386676965933,1.7888543819998317,0.816496580927726,5.207106781186548,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,60.515364784490885,34.938562148434215,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,62
347,4.0,111,118,113,120,2.0,2.0,0.0,4.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,39.0625,39.0625,2,2,39.0625,39.0625,39.0625,39.0625,1.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,110
351,4.0,112,159,115,161,2.8284271247461903,1.7320508075688772,0.7905694150420949,4.621320343559642,1.0,0.00152587890625,1525.87890625,44.07731121466846,55.24271728019903,33.829117335329634,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,111
353,4.0,113,140,117,141,4.47213595499958,0.0,1.0,2.0,1.0,0.00152587890625,1525.87890625,44.07731121466846,87.34640537108554,0.0,4,1,78.125,19.53125,78.125,19.53125,4.0,0.002154011847065159,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.004733727810650888,6.103515625e-05,112
355,6.0,113,254,116,256,3.265986323710904,2.0,0.7905694150420949,6.0,1.0,0.002288818359375,2288.818359375,53.983460854896165,63.7887953849786,39.0625,3,2,58.59375,39.0625,58.59375,39.0625,1.5,0.0032310177705977385,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.007100591715976331,9.1552734375e-05,40
356,5.0,114,19,119,20,5.656854249492381,0.0,1.0,3.0,1.0,0.0019073486328125,1907.3486328125,49.27993207070625,110.48543456039806,0.0,5,1,97.65625,19.53125,97.65625,19.53125,5.0,0.0026925148088314485,230723A-JC-32-Center,25.0,0.3223419189453125,0.0128936767578125,0.005917159763313609,7.62939453125e-05,63
