Elapsed Time (Seconds)	Peak Intensity (Pixel Intensity)
1.379900e+01	2.546000e+03
1.383200e+01	2.596000e+03
1.386600e+01	2.542000e+03
1.389900e+01	2.564000e+03
1.393200e+01	2.594000e+03
1.396500e+01	2.623000e+03
1.399800e+01	2.653000e+03
1.403100e+01	2.687000e+03
1.406500e+01	2.671000e+03
1.409700e+01	2.718000e+03
1.413000e+01	2.729000e+03
1.416300e+01	2.695000e+03
1.419700e+01	2.719000e+03
1.423000e+01	2.724000e+03
1.426300e+01	2.740000e+03
1.429600e+01	2.765000e+03
1.432900e+01	2.739000e+03
1.436200e+01	2.770000e+03
1.439500e+01	2.820000e+03
1.442800e+01	2.792000e+03
1.446100e+01	2.841000e+03
1.449400e+01	2.865000e+03
1.452700e+01	2.858000e+03
1.456000e+01	2.886000e+03
1.459400e+01	2.879000e+03
1.462700e+01	2.863000e+03
1.466000e+01	2.909000e+03
1.469200e+01	2.900000e+03
1.472600e+01	2.947000e+03
1.475900e+01	2.934000e+03
1.479200e+01	3.009000e+03
1.482500e+01	3.027000e+03
1.485900e+01	3.021000e+03
1.489100e+01	3.060000e+03
1.492400e+01	3.040000e+03
1.495800e+01	3.091000e+03
1.499100e+01	3.068000e+03
1.502300e+01	3.125000e+03
1.505700e+01	3.132000e+03
1.509000e+01	3.105000e+03
1.512300e+01	3.074000e+03
1.515600e+01	3.135000e+03
1.518900e+01	3.123000e+03
1.522200e+01	3.134000e+03
1.527700e+01	3.179000e+03
1.528800e+01	3.133000e+03
1.532200e+01	3.192000e+03
1.535500e+01	3.166000e+03
1.538800e+01	3.215000e+03
1.542100e+01	3.200000e+03
1.545400e+01	3.218000e+03
1.548700e+01	3.212000e+03
1.552000e+01	3.219000e+03
1.555400e+01	3.244000e+03
1.558600e+01	3.222000e+03
1.561900e+01	3.224000e+03
1.565300e+01	3.243000e+03
1.568600e+01	3.205000e+03
1.571900e+01	3.221000e+03
1.575100e+01	3.212000e+03
1.578500e+01	3.266000e+03
1.581800e+01	3.229000e+03
1.587300e+01	3.237000e+03
1.588400e+01	3.251000e+03
1.591700e+01	3.216000e+03
1.595000e+01	3.248000e+03
1.598400e+01	3.241000e+03
1.601700e+01	3.219000e+03
1.605000e+01	3.226000e+03
1.608300e+01	3.171000e+03
1.611600e+01	3.172000e+03
1.614900e+01	3.167000e+03
1.618200e+01	3.199000e+03
1.621500e+01	3.164000e+03
1.624800e+01	3.151000e+03
1.628200e+01	3.154000e+03
1.631400e+01	3.074000e+03
1.634800e+01	3.105000e+03
1.638000e+01	3.072000e+03
1.641400e+01	3.077000e+03
1.644700e+01	3.033000e+03
1.648000e+01	3.058000e+03
1.651300e+01	2.997000e+03
1.654600e+01	3.021000e+03
1.657900e+01	3.034000e+03
1.661200e+01	3.020000e+03
1.664500e+01	2.930000e+03
1.667800e+01	2.974000e+03
1.671100e+01	2.955000e+03
1.674500e+01	2.976000e+03
1.677800e+01	2.974000e+03
1.681100e+01	2.923000e+03
1.684400e+01	2.889000e+03
1.687600e+01	2.875000e+03
1.691000e+01	2.879000e+03
1.694300e+01	2.909000e+03
1.697600e+01	2.885000e+03
1.701000e+01	2.819000e+03
1.704200e+01	2.818000e+03
1.707600e+01	2.790000e+03
1.710900e+01	2.817000e+03
1.714200e+01	2.782000e+03
1.717500e+01	2.805000e+03
1.720800e+01	2.762000e+03
1.724100e+01	2.728000e+03
1.727400e+01	2.735000e+03
1.730700e+01	2.702000e+03
1.734000e+01	2.747000e+03
1.737300e+01	2.694000e+03
1.740600e+01	2.674000e+03
1.743900e+01	2.671000e+03
1.747300e+01	2.696000e+03
1.750600e+01	2.644000e+03
1.753800e+01	2.668000e+03
1.757200e+01	2.629000e+03
1.760500e+01	2.602000e+03
1.763800e+01	2.605000e+03
1.767100e+01	2.595000e+03
1.770500e+01	2.638000e+03
1.773700e+01	2.596000e+03
1.777000e+01	2.602000e+03
1.780300e+01	2.547000e+03
1.783600e+01	2.570000e+03
1.787000e+01	2.517000e+03
1.790300e+01	2.564000e+03
1.793600e+01	2.536000e+03
1.796900e+01	2.545000e+03
1.800200e+01	2.522000e+03
1.803500e+01	2.511000e+03
1.806800e+01	2.476000e+03
1.810100e+01	2.479000e+03
1.813500e+01	2.482000e+03
1.816800e+01	2.470000e+03
1.820100e+01	2.485000e+03
1.823400e+01	2.481000e+03
1.826700e+01	2.458000e+03
1.830000e+01	2.500000e+03
1.833200e+01	2.451000e+03
1.836600e+01	2.482000e+03
1.839900e+01	2.470000e+03
1.843300e+01	2.500000e+03
1.846500e+01	2.465000e+03
1.849900e+01	2.460000e+03
1.853100e+01	2.425000e+03
1.856500e+01	2.451000e+03
1.859800e+01	2.438000e+03
1.863100e+01	2.450000e+03
1.866400e+01	2.417000e+03
1.869700e+01	2.426000e+03
1.873000e+01	2.433000e+03
1.876400e+01	2.428000e+03
1.879700e+01	2.476000e+03
1.883000e+01	2.410000e+03
1.886200e+01	2.428000e+03
1.889500e+01	2.474000e+03
1.892800e+01	2.459000e+03
1.896200e+01	2.435000e+03
1.899500e+01	2.446000e+03
1.902800e+01	2.461000e+03
1.906100e+01	2.470000e+03
1.909400e+01	2.472000e+03
1.912700e+01	2.455000e+03
1.916000e+01	2.438000e+03
1.919300e+01	2.492000e+03
1.922600e+01	2.472000e+03
1.926000e+01	2.488000e+03
1.929200e+01	2.466000e+03
1.932500e+01	2.524000e+03
1.938100e+01	2.518000e+03
1.939200e+01	2.555000e+03
1.942500e+01	2.512000e+03
1.945800e+01	2.515000e+03
1.949100e+01	2.576000e+03
1.952400e+01	2.556000e+03
1.955700e+01	2.554000e+03
1.959100e+01	2.537000e+03
1.962400e+01	2.588000e+03
1.965700e+01	2.537000e+03
1.969000e+01	2.552000e+03
1.972300e+01	2.616000e+03
1.975600e+01	2.585000e+03
1.978900e+01	2.566000e+03
1.982200e+01	2.643000e+03
1.985500e+01	2.611000e+03
1.988800e+01	2.621000e+03
1.992200e+01	2.625000e+03
1.995500e+01	2.641000e+03
1.998800e+01	2.647000e+03
2.002100e+01	2.662000e+03
2.005300e+01	2.706000e+03
2.008700e+01	2.718000e+03
2.012000e+01	2.715000e+03
2.015300e+01	2.694000e+03
2.018600e+01	2.744000e+03
2.022000e+01	2.731000e+03
2.025300e+01	2.732000e+03
2.028500e+01	2.743000e+03
2.031800e+01	2.819000e+03
2.035200e+01	2.766000e+03
2.038500e+01	2.840000e+03
2.041800e+01	2.805000e+03
2.045100e+01	2.825000e+03
2.050600e+01	2.835000e+03
2.051600e+01	2.828000e+03
2.055100e+01	2.905000e+03
2.058300e+01	2.865000e+03
2.061600e+01	2.888000e+03
2.064900e+01	2.873000e+03
2.068300e+01	2.901000e+03
2.071600e+01	2.913000e+03
2.074900e+01	2.919000e+03
2.078200e+01	2.944000e+03
2.083700e+01	2.935000e+03
2.084800e+01	3.006000e+03
2.088200e+01	3.024000e+03
2.091400e+01	2.993000e+03
2.094700e+01	3.021000e+03
2.098100e+01	2.989000e+03
2.101400e+01	3.001000e+03
2.104700e+01	3.084000e+03
2.107900e+01	3.026000e+03
2.111300e+01	3.068000e+03
2.114600e+01	3.050000e+03
2.117800e+01	3.087000e+03
2.121200e+01	3.094000e+03
2.124500e+01	3.093000e+03
2.127800e+01	3.067000e+03
2.131100e+01	3.110000e+03
2.134400e+01	3.101000e+03
2.137700e+01	3.106000e+03
2.141000e+01	3.111000e+03
2.144400e+01	3.129000e+03
2.147600e+01	3.152000e+03
2.151000e+01	3.126000e+03
2.154300e+01	3.126000e+03
2.157600e+01	3.111000e+03
2.160900e+01	3.128000e+03
2.164200e+01	3.131000e+03
2.167500e+01	3.106000e+03
2.170900e+01	3.140000e+03
2.174200e+01	3.127000e+03
2.177500e+01	3.147000e+03
2.180800e+01	3.150000e+03
2.184100e+01	3.153000e+03
2.187400e+01	3.119000e+03
2.190700e+01	3.172000e+03
2.194000e+01	3.104000e+03
2.197300e+01	3.163000e+03
2.200600e+01	3.122000e+03
2.203900e+01	3.101000e+03
2.207300e+01	3.078000e+03
2.210600e+01	3.051000e+03
2.213900e+01	3.096000e+03
2.217200e+01	3.089000e+03
2.220400e+01	3.056000e+03
2.223800e+01	3.081000e+03
2.227100e+01	3.047000e+03
2.230400e+01	3.050000e+03
2.233700e+01	3.007000e+03
2.237100e+01	3.023000e+03
2.240400e+01	3.015000e+03
2.243700e+01	3.013000e+03
2.247000e+01	2.957000e+03
2.250300e+01	2.960000e+03
2.253600e+01	2.987000e+03
2.256900e+01	2.976000e+03
2.260200e+01	2.987000e+03
2.263500e+01	2.951000e+03
2.266800e+01	2.954000e+03
2.270100e+01	2.919000e+03
2.273400e+01	2.957000e+03
2.276700e+01	2.911000e+03
2.280000e+01	2.883000e+03
2.283400e+01	2.892000e+03
2.286700e+01	2.875000e+03
2.290000e+01	2.841000e+03
2.293300e+01	2.834000e+03
2.296600e+01	2.834000e+03
2.299900e+01	2.812000e+03
2.303200e+01	2.790000e+03
2.306500e+01	2.782000e+03
2.309900e+01	2.772000e+03
2.313100e+01	2.799000e+03
2.316500e+01	2.761000e+03
2.319800e+01	2.746000e+03
2.323100e+01	2.734000e+03
2.326400e+01	2.736000e+03
2.329700e+01	2.730000e+03
2.332900e+01	2.731000e+03
2.336300e+01	2.759000e+03
2.339600e+01	2.700000e+03
2.342900e+01	2.727000e+03
2.346200e+01	2.709000e+03
2.349600e+01	2.702000e+03
2.352800e+01	2.676000e+03
2.356200e+01	2.724000e+03
2.359500e+01	2.698000e+03
2.362800e+01	2.646000e+03
2.366100e+01	2.637000e+03
2.369400e+01	2.616000e+03
2.372700e+01	2.629000e+03
2.376100e+01	2.617000e+03
2.379300e+01	2.621000e+03
2.382600e+01	2.594000e+03
2.385900e+01	2.621000e+03
2.391500e+01	2.587000e+03
2.392600e+01	2.572000e+03
2.395900e+01	2.571000e+03
2.399200e+01	2.546000e+03
2.402500e+01	2.543000e+03
2.405800e+01	2.543000e+03
2.409100e+01	2.560000e+03
2.412400e+01	2.532000e+03
2.415700e+01	2.524000e+03
2.419000e+01	2.543000e+03
2.422300e+01	2.525000e+03
2.425600e+01	2.529000e+03
2.428900e+01	2.550000e+03
2.432200e+01	2.543000e+03
2.435600e+01	2.565000e+03
2.438900e+01	2.507000e+03
2.442200e+01	2.519000e+03
2.445500e+01	2.565000e+03
2.448900e+01	2.491000e+03
2.452200e+01	2.549000e+03
2.455400e+01	2.493000e+03
2.458800e+01	2.543000e+03
2.462100e+01	2.481000e+03
2.465400e+01	2.528000e+03
2.468600e+01	2.522000e+03
2.472000e+01	2.518000e+03
2.475300e+01	2.503000e+03
2.478600e+01	2.520000e+03
2.481900e+01	2.559000e+03
2.485300e+01	2.526000e+03
2.488500e+01	2.508000e+03
2.491800e+01	2.540000e+03
2.495200e+01	2.536000e+03
2.498500e+01	2.562000e+03
2.501800e+01	2.535000e+03
2.505100e+01	2.521000e+03
2.508400e+01	2.559000e+03
2.511700e+01	2.581000e+03
2.515000e+01	2.516000e+03
2.518300e+01	2.552000e+03
2.521600e+01	2.584000e+03
2.524900e+01	2.577000e+03
2.528300e+01	2.583000e+03
2.531600e+01	2.525000e+03
2.534900e+01	2.547000e+03
2.538200e+01	2.578000e+03
2.541500e+01	2.584000e+03
2.544800e+01	2.610000e+03
2.548100e+01	2.574000e+03
2.551400e+01	2.613000e+03
2.554700e+01	2.601000e+03
2.558000e+01	2.593000e+03
2.561400e+01	2.587000e+03
2.564700e+01	2.581000e+03
2.568000e+01	2.641000e+03
2.571300e+01	2.603000e+03
2.574600e+01	2.625000e+03
2.577800e+01	2.634000e+03
2.581200e+01	2.662000e+03
2.584500e+01	2.705000e+03
2.587800e+01	2.690000e+03
2.591100e+01	2.694000e+03
2.594400e+01	2.681000e+03
2.597700e+01	2.719000e+03
2.601000e+01	2.734000e+03
2.604400e+01	2.739000e+03
2.607600e+01	2.744000e+03
2.611000e+01	2.751000e+03
2.614300e+01	2.755000e+03
2.617600e+01	2.790000e+03
2.620900e+01	2.765000e+03
2.624200e+01	2.772000e+03
2.627500e+01	2.788000e+03
2.630800e+01	2.812000e+03
2.634100e+01	2.788000e+03
2.637500e+01	2.829000e+03
2.640800e+01	2.808000e+03
2.644100e+01	2.827000e+03
2.647400e+01	2.829000e+03
2.650700e+01	2.845000e+03
2.654000e+01	2.918000e+03
2.657300e+01	2.845000e+03
2.660600e+01	2.877000e+03
2.663900e+01	2.927000e+03
2.667200e+01	2.928000e+03
2.670600e+01	2.903000e+03
2.673800e+01	2.907000e+03
2.677200e+01	2.957000e+03
2.680500e+01	2.962000e+03
2.683800e+01	2.968000e+03
2.687100e+01	2.968000e+03
2.690400e+01	2.989000e+03
2.693700e+01	3.025000e+03
2.697100e+01	2.989000e+03
2.700300e+01	3.003000e+03
2.703600e+01	2.993000e+03
2.707000e+01	3.016000e+03
2.710300e+01	3.008000e+03
2.713600e+01	2.955000e+03
2.716900e+01	3.041000e+03
2.720200e+01	3.042000e+03
2.723500e+01	3.037000e+03
2.726800e+01	3.011000e+03
2.730100e+01	3.038000e+03
2.733400e+01	3.051000e+03
2.736700e+01	3.011000e+03
2.740000e+01	3.020000e+03
2.743400e+01	3.074000e+03
2.746700e+01	3.080000e+03
2.750000e+01	3.094000e+03
2.753300e+01	3.067000e+03
2.756600e+01	3.073000e+03
2.759900e+01	3.082000e+03
2.763200e+01	3.076000e+03
2.766500e+01	3.084000e+03
2.769900e+01	3.113000e+03
2.773200e+01	3.099000e+03
2.776400e+01	3.037000e+03
2.779700e+01	3.030000e+03
2.783100e+01	3.051000e+03
2.786400e+01	3.027000e+03
2.789700e+01	3.009000e+03
2.793000e+01	3.020000e+03
2.796300e+01	3.021000e+03
2.799600e+01	3.014000e+03
2.802900e+01	3.045000e+03
2.806200e+01	3.027000e+03
2.809600e+01	2.973000e+03
2.812800e+01	2.975000e+03
2.816100e+01	2.982000e+03
2.819500e+01	2.999000e+03
2.822800e+01	3.001000e+03
2.826100e+01	2.976000e+03
2.829400e+01	2.940000e+03
2.832700e+01	2.949000e+03
2.836000e+01	2.953000e+03
