#	z_max	r_eq	V_L
4.49513e-09	3.11674e-08	5.1853e-24
4.76447e-09	3.61293e-08	9.32874e-24
3.24101e-09	2.464e-08	2.84916e-24
3.10415e-09	2.40161e-08	2.82721e-24
3.3584e-09	2.40161e-08	3.10702e-24
4.31097e-09	2.80939e-08	4.75746e-24
3.12121e-09	2.96704e-08	4.78236e-24
4.15586e-09	3.01777e-08	4.38682e-24
4.82473e-09	3.44078e-08	6.35072e-24
4.0718e-09	3.48462e-08	6.84896e-24
4.46026e-09	2.80939e-08	4.54645e-24
2.60721e-09	2.86291e-08	5.24548e-24
3.88983e-09	2.96704e-08	5.82308e-24
4.10065e-09	3.3058e-08	6.51609e-24
3.60017e-09	2.96704e-08	5.14389e-24
4.35961e-09	3.16506e-08	6.31589e-24
4.02843e-09	3.16506e-08	5.51761e-24
3.361e-09	2.06153e-08	2.08321e-24
4.60068e-09	2.75483e-08	4.86157e-24
2.84105e-09	2.80939e-08	3.64868e-24
2.51015e-09	1.9086e-08	1.27692e-24
4.70896e-09	2.91544e-08	4.82328e-24
3.2183e-09	2.58426e-08	4.21779e-24
2.73763e-09	2.06153e-08	2.3901e-24
3.76816e-09	3.25956e-08	7.65102e-24
4.26623e-09	3.85676e-08	7.61771e-24
3.06735e-09	3.25956e-08	5.24669e-24
3.03825e-09	2.13388e-08	1.74652e-24
4.02206e-09	3.3514e-08	6.13414e-24
5.34603e-10	1.45772e-08	9.91595e-26
4.30043e-09	2.58426e-08	3.64543e-24
3.41284e-09	2.33755e-08	1.68482e-24
4.404e-09	3.93469e-08	1.17756e-23
3.34175e-09	2.86291e-08	4.89433e-24
3.30207e-09	2.69917e-08	4.82851e-24
2.85501e-09	2.40161e-08	3.1974e-24
2.62997e-09	2.40161e-08	2.91368e-24
4.23803e-09	2.75483e-08	4.68197e-24
4.00321e-09	2.91544e-08	4.93944e-24
3.54551e-09	2.40161e-08	3.48326e-24
4.06233e-09	2.52485e-08	2.64197e-24
3.05414e-09	1.82735e-08	1.79327e-24
2.68086e-09	2.86291e-08	3.89169e-24
3.63922e-09	2.58426e-08	1.96288e-24
4.06574e-09	3.48462e-08	8.89022e-24
