rel. 1/cm	CCD cts
 2.33933E+02	 6.20400E+02
 2.34319E+02	 6.20000E+02
 2.34706E+02	 6.19200E+02
 2.35093E+02	 6.19000E+02
 2.35480E+02	 6.19800E+02
 2.35866E+02	 6.20200E+02
 2.36253E+02	 6.18200E+02
 2.36639E+02	 6.19000E+02
 2.37026E+02	 6.20000E+02
 2.37413E+02	 6.19200E+02
 2.37799E+02	 6.19600E+02
 2.38186E+02	 6.20200E+02
 2.38572E+02	 6.17800E+02
 2.38959E+02	 6.17600E+02
 2.39345E+02	 6.18800E+02
 2.39732E+02	 6.20200E+02
 2.40118E+02	 6.19800E+02
 2.40504E+02	 6.19800E+02
 2.40891E+02	 6.17400E+02
 2.41277E+02	 6.18400E+02
 2.41663E+02	 6.18600E+02
 2.42050E+02	 6.21200E+02
 2.42436E+02	 6.19800E+02
 2.42822E+02	 6.18800E+02
 2.43208E+02	 6.17000E+02
 2.43594E+02	 6.18200E+02
 2.43981E+02	 6.20200E+02
 2.44367E+02	 6.19600E+02
 2.44753E+02	 6.19200E+02
 2.45139E+02	 6.22000E+02
 2.45525E+02	 6.19000E+02
 2.45911E+02	 6.19200E+02
 2.46297E+02	 6.18200E+02
 2.46683E+02	 6.20400E+02
 2.47069E+02	 6.18200E+02
 2.47455E+02	 6.19200E+02
 2.47841E+02	 6.18200E+02
 2.48226E+02	 6.19600E+02
 2.48612E+02	 6.19600E+02
 2.48998E+02	 6.20800E+02
 2.49384E+02	 6.17400E+02
 2.49770E+02	 6.18600E+02
 2.50155E+02	 6.20000E+02
 2.50541E+02	 6.19600E+02
 2.50927E+02	 6.19200E+02
 2.51312E+02	 6.19400E+02
 2.51698E+02	 6.17000E+02
 2.52084E+02	 6.18600E+02
 2.52469E+02	 6.19000E+02
 2.52855E+02	 6.18800E+02
 2.53240E+02	 6.18400E+02
 2.53626E+02	 6.18400E+02
 2.54011E+02	 6.20800E+02
 2.54397E+02	 6.18800E+02
 2.54782E+02	 6.17400E+02
