#	z_max	r_eq	V_L
4.98247e-09	3.44078e-08	9.5102e-24
1.48564e-08	4.0111e-08	2.42621e-23
2.48064e-09	7.79184e-09	1.16707e-25
9.91398e-09	2.96704e-08	9.48166e-24
1.12247e-08	3.77724e-08	1.66125e-23
4.63621e-09	2.80939e-08	5.74987e-24
3.88155e-09	2.58426e-08	4.71461e-24
1.18892e-08	4.15971e-08	2.27073e-23
5.56361e-09	3.77724e-08	1.22894e-23
6.51333e-09	3.21266e-08	8.88227e-24
4.76058e-09	4.26777e-08	1.69414e-23
2.91962e-09	2.13388e-08	2.53087e-24
1.9536e-09	5.50966e-09	2.34008e-26
3.63454e-09	2.86291e-08	5.66878e-24
2.22936e-09	9.54302e-09	2.46497e-25
6.70053e-09	3.89592e-08	1.66103e-23
1.00434e-08	3.01777e-08	9.32212e-24
7.20347e-09	2.80939e-08	9.2026e-24
1.29568e-08	4.57667e-08	3.5525e-23
4.51963e-09	3.01777e-08	7.46802e-24
4.25715e-09	3.73684e-08	1.13662e-23
2.65562e-09	1.45772e-08	7.47839e-25
2.74763e-09	1.55837e-08	1.48764e-24
8.26318e-09	3.93469e-08	2.00943e-23
2.79048e-09	1.45772e-08	9.67862e-25
3.50886e-09	2.06153e-08	2.75749e-24
4.56882e-09	3.61293e-08	1.11649e-23
7.45201e-09	3.69599e-08	1.43715e-23
4.57933e-09	3.77724e-08	1.02503e-23
1.04154e-08	3.44078e-08	1.24655e-23
1.83251e-08	3.93469e-08	2.35917e-23
1.05742e-08	4.30319e-08	2.71866e-23
6.63848e-09	3.61293e-08	1.33085e-23
1.07879e-08	3.52791e-08	1.6476e-23
9.28462e-09	3.6547e-08	1.83282e-23
4.34264e-09	3.3514e-08	9.15075e-24
6.60178e-09	4.50985e-08	2.46535e-23
1.02014e-08	4.30319e-08	2.90964e-23
1.60178e-08	4.08608e-08	2.7346e-23
8.09924e-09	4.80321e-08	2.97231e-23
1.57107e-08	5.53714e-08	6.61945e-23
5.70292e-09	3.57067e-08	1.16286e-23
5.16237e-09	3.16506e-08	7.84448e-24
8.30321e-09	3.25956e-08	1.13178e-23
5.96473e-09	3.69599e-08	1.19184e-23
3.48104e-09	1.74231e-08	1.38509e-24
1.19531e-09	9.54302e-09	1.68176e-26
1.63384e-08	3.97308e-08	2.95887e-23
3.47059e-09	2.27169e-08	3.31255e-24
