 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
132,0.0018,0,0.1748,2.6022,0.7281,0.0292,0.0652,0.0722,0.0312,88.2277,0.7287,0.0682,1159,353,72.7585,0.0292,2.3117,0.4326,0.9630
133,0.0005,0,0.0857,1.2674,0.7348,0.0247,0.0247,0.0271,0.0242,103.2781,0.8810,0.0318,564,327,135.0000,0.0247,1.1207,0.8923,0.9231
134,0.0042,0,0.2684,2.4045,0.7371,0.0472,0.0944,0.1041,0.0510,89.9299,0.7265,0.0997,1072,369,67.4794,0.0472,2.0429,0.4895,0.9565
135,0.0026,0,0.2156,0.2292,0.7393,0.0382,0.0809,0.0857,0.0389,91.5761,0.7072,0.0820,107,329,99.4623,0.0382,2.2032,0.4539,0.9333
136,0.0005,0,0.0894,2.7438,0.7483,0.0292,0.0247,0.0293,0.0235,24.6345,0.8489,0.0319,1221,342,39.2894,0.0242,1.2481,0.8012,0.8992
137,0.0009,0,0.1188,1.8854,0.7596,0.0270,0.0404,0.0440,0.0250,83.5560,0.7688,0.0443,840,356,66.0375,0.0255,1.7621,0.5675,0.9024
138,0.0009,0,0.1117,1.9551,0.7596,0.0404,0.0292,0.0399,0.0276,179.3151,0.8700,0.0420,870,348,15.5241,0.0291,1.4469,0.6912,0.9072
139,0.0011,0,0.1310,2.5101,0.7618,0.0292,0.0449,0.0479,0.0292,91.6285,0.8064,0.0476,1120,359,70.7100,0.0292,1.6394,0.6100,0.9277
140,0.0008,0,0.1053,0.9910,0.7685,0.0337,0.0315,0.0324,0.0310,167.6730,0.8924,0.0355,441,349,18.4349,0.0315,1.0471,0.9551,0.9096
141,0.0011,0,0.1280,2.9685,0.7708,0.0292,0.0404,0.0446,0.0303,84.9676,0.8131,0.0474,1322,361,58.5704,0.0292,1.4735,0.6787,0.9375
142,0.0020,0,0.1770,0.8966,0.7753,0.0382,0.0652,0.0659,0.0390,93.0286,0.8081,0.0658,407,345,97.8533,0.0382,1.6903,0.5916,0.9399
143,0.0005,0,0.0855,0.8449,0.7775,0.0292,0.0247,0.0292,0.0231,161.8638,0.9118,0.0313,376,349,158.9625,0.0247,1.2608,0.7932,0.9130
144,0.0013,0,0.1431,3.0090,0.7775,0.0337,0.0472,0.0490,0.0346,79.6651,0.8176,0.0524,1340,366,59.0362,0.0337,1.4145,0.7070,0.9378
145,0.0011,0,0.1312,1.2742,0.7865,0.0315,0.0404,0.0442,0.0320,78.2521,0.8110,0.0495,567,368,50.5275,0.0313,1.3831,0.7230,0.9402
146,0.0009,0,0.1143,0.6315,0.7888,0.0360,0.0337,0.0373,0.0298,38.8358,0.8401,0.0414,284,365,49.3987,0.0310,1.2514,0.7991,0.9058
147,0.0022,0,0.1926,2.0674,0.7888,0.0382,0.0652,0.0719,0.0394,87.5042,0.7546,0.0697,923,380,69.2277,0.0382,1.8230,0.5486,0.9255
148,0.0009,0,0.1138,1.4854,0.8022,0.0315,0.0360,0.0372,0.0315,83.6998,0.8923,0.0402,665,373,63.4349,0.0313,1.1799,0.8475,0.9286
149,0.0009,0,0.1169,1.8112,0.8135,0.0337,0.0360,0.0382,0.0315,42.7916,0.8677,0.0432,807,377,51.3402,0.0337,1.2136,0.8240,0.9212
150,0.0012,0,0.1357,0.7640,0.8157,0.0337,0.0404,0.0445,0.0355,79.1579,0.8478,0.0499,342,381,54.1623,0.0337,1.2517,0.7989,0.9535
151,0.0008,0,0.1021,3.2090,0.8180,0.0337,0.0292,0.0365,0.0263,160.2022,0.9062,0.0382,1428,366,151.9275,0.0269,1.3872,0.7209,0.9198
152,0.0005,0,0.0868,0.5506,0.8202,0.0270,0.0270,0.0298,0.0233,45.3785,0.9096,0.0324,245,374,33.6901,0.0254,1.2798,0.7814,0.9114
153,0.0013,0,0.1452,1.2719,0.8292,0.0315,0.0517,0.0541,0.0317,87.2885,0.8033,0.0547,568,369,109.1790,0.0315,1.7041,0.5868,0.9485
154,0.0013,0,0.1376,3.1596,0.8315,0.0315,0.0472,0.0501,0.0326,91.5495,0.8518,0.0505,1408,370,110.8545,0.0315,1.5377,0.6503,0.9442
