#	z_max	r_eq	V_L
1.22989e-08	5.22693e-08	4.41347e-23
8.13279e-09	3.6547e-08	1.57416e-23
7.29705e-09	3.3058e-08	1.17997e-23
8.51747e-09	4.54339e-08	2.91759e-23
7.67694e-09	3.01777e-08	1.02932e-23
8.67028e-09	4.0111e-08	2.16305e-23
8.42949e-09	3.89592e-08	1.96105e-23
8.8462e-09	4.73959e-08	3.27691e-23
8.15505e-09	4.9587e-08	3.48199e-23
8.74558e-09	3.73684e-08	1.83849e-23
7.50153e-09	4.37316e-08	2.45258e-23
7.00397e-09	3.25956e-08	1.28771e-23
7.65599e-09	4.33831e-08	2.49031e-23
8.60165e-09	4.08608e-08	2.43902e-23
8.38417e-09	3.48462e-08	1.53637e-23
7.48433e-09	3.48462e-08	1.25169e-23
8.36464e-09	4.40773e-08	2.38709e-23
8.48216e-09	4.9587e-08	3.10624e-23
9.76051e-09	4.54339e-08	2.76576e-23
1.08882e-08	4.30319e-08	2.37836e-23
8.25175e-09	3.81721e-08	1.90735e-23
8.44301e-09	4.04876e-08	2.40781e-23
7.46953e-09	3.48462e-08	1.55225e-23
7.93471e-09	3.6547e-08	1.67636e-23
9.45375e-09	3.85676e-08	1.82106e-23
8.39236e-09	4.26777e-08	2.30793e-23
8.10364e-09	4.64253e-08	2.75097e-23
9.33125e-09	4.19604e-08	2.37543e-23
8.66157e-09	3.81721e-08	1.75737e-23
9.25957e-09	4.26777e-08	2.26652e-23
7.2543e-09	3.21266e-08	1.21687e-23
7.77251e-09	3.01777e-08	1.09301e-23
7.42271e-09	3.48462e-08	1.4202e-23
7.6866e-09	3.48462e-08	1.51609e-23
7.56936e-09	3.57067e-08	1.5552e-23
8.1851e-09	3.57067e-08	1.66964e-23
7.85137e-09	4.37316e-08	2.55462e-23
7.43176e-09	3.77724e-08	1.60571e-23
8.30318e-09	3.81721e-08	1.84453e-23
6.31286e-09	2.40161e-08	5.52678e-24
1.03631e-08	4.19604e-08	2.35617e-23
8.40544e-09	4.12305e-08	2.21561e-23
8.57632e-09	4.64253e-08	2.93868e-23
8.83908e-09	4.54339e-08	2.62986e-23
6.58374e-09	2.58426e-08	7.80646e-24
7.73597e-09	4.04876e-08	1.88775e-23
7.6061e-09	3.11674e-08	1.04468e-23
6.88974e-09	2.40161e-08	5.80349e-24
7.63385e-09	3.39638e-08	1.36065e-23
8.39596e-09	3.39638e-08	1.30759e-23
1.08532e-08	4.26777e-08	2.44419e-23
8.8545e-09	2.86291e-08	1.04837e-23
9.76844e-09	4.23205e-08	2.42792e-23
7.06516e-09	3.89592e-08	1.79979e-23
7.57564e-09	4.23205e-08	2.1228e-23
8.51123e-09	4.0111e-08	1.77441e-23
7.85639e-09	3.69599e-08	1.50798e-23
8.69267e-09	3.52791e-08	1.49221e-23
7.12913e-09	3.21266e-08	1.16623e-23
7.15761e-09	3.77724e-08	1.7719e-23
6.75444e-09	3.48462e-08	1.26183e-23
