 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
101,0.0015,0,0.1490,0.3798,1.3865,0.0427,0.0449,0.0473,0.0398,69.2204,0.8380,0.0512,169,633,37.8750,0.0398,1.1883,0.8415,0.9156
102,0.0026,0,0.1894,2.7056,1.3978,0.0539,0.0539,0.0580,0.0568,20.6307,0.9057,0.0661,1204,642,35.3112,0.0539,1.0211,0.9794,0.9615
103,0.0018,0,0.1548,2.9079,1.4180,0.0494,0.0404,0.0519,0.0434,176.2949,0.9273,0.0536,1294,635,146.9761,0.0404,1.1970,0.8354,0.9629
104,0.0012,0,0.1325,2.9596,1.4180,0.0404,0.0337,0.0430,0.0365,17.5962,0.8817,0.0486,1317,644,33.6901,0.0337,1.1763,0.8501,0.9663
105,0.0018,0,0.1617,2.0225,1.4247,0.0584,0.0382,0.0609,0.0384,170.1263,0.8814,0.0618,900,637,160.9065,0.0380,1.5865,0.6303,0.9503
106,0.0012,0,0.1362,1.4404,1.4315,0.0472,0.0292,0.0491,0.0318,179.0511,0.8308,0.0493,641,648,24.2277,0.0292,1.5432,0.6480,0.9511
107,0.0021,0,0.1714,0.8876,1.4584,0.0539,0.0449,0.0563,0.0471,11.1302,0.8897,0.0630,396,667,34.8245,0.0449,1.1955,0.8365,0.9559
108,0.0014,0,0.1402,3.2022,1.4652,0.0427,0.0360,0.0455,0.0390,174.6136,0.8912,0.0495,1425,654,140.5275,0.0360,1.1675,0.8566,0.9600
109,0.0021,0,0.1830,2.2225,1.4831,0.0629,0.0382,0.0684,0.0394,175.9814,0.7936,0.0676,989,663,158.5523,0.0382,1.7348,0.5765,0.9458
110,0.0018,0,0.1600,1.3551,1.4899,0.0517,0.0382,0.0572,0.0390,173.6195,0.8598,0.0586,604,664,147.5288,0.0377,1.4639,0.6831,0.9559
111,0.0021,0,0.1748,0.0022,1.4944,0.0472,0.0494,0.0540,0.0502,82.3934,0.8761,0.0620,1,686,43.5312,0.0472,1.0751,0.9301,0.9646
112,0.0018,0,0.1593,1.1955,1.5034,0.0404,0.0517,0.0549,0.0422,80.9550,0.9007,0.0567,535,692,56.3099,0.0404,1.3009,0.7687,0.9562
113,0.0022,0,0.1754,1.7820,1.5056,0.0539,0.0449,0.0577,0.0487,0.9299,0.9017,0.0624,793,687,30.2564,0.0449,1.1840,0.8446,0.9657
