#	z_max	r_eq	V_L
6.06616e-09	2.52485e-08	2.81522e-24
4.34265e-09	1.98654e-08	2.36126e-24
3.8653e-09	1.74231e-08	2.27807e-24
8.13101e-09	3.01777e-08	1.22944e-23
8.02696e-09	3.73684e-08	1.73033e-23
8.28776e-09	3.93469e-08	1.83124e-23
6.39822e-09	2.27169e-08	4.27735e-24
6.8345e-09	3.52791e-08	1.25466e-23
5.83315e-09	3.3514e-08	1.1469e-23
3.15706e-09	9.54302e-09	2.39322e-25
5.19125e-09	1.98654e-08	2.76627e-24
6.9072e-09	3.16506e-08	8.41505e-24
2.86295e-09	1.45772e-08	7.1284e-25
4.67262e-09	2.06153e-08	3.21223e-24
5.46851e-09	2.58426e-08	5.5335e-24
4.0634e-09	1.82735e-08	2.44783e-24
5.46579e-09	3.06765e-08	7.24695e-24
8.98895e-09	2.96704e-08	8.96429e-24
5.69629e-09	2.52485e-08	5.26765e-24
8.92139e-09	3.52791e-08	1.3751e-23
3.07098e-09	5.50966e-09	2.58206e-26
1.29409e-08	3.81721e-08	1.6062e-23
7.1853e-09	3.16506e-08	1.04228e-23
5.79736e-09	2.58426e-08	5.92023e-24
9.24564e-09	2.75483e-08	6.4148e-24
4.82232e-09	2.96704e-08	7.3449e-24
4.92165e-09	2.91544e-08	7.63655e-24
9.43948e-09	3.21266e-08	1.00885e-23
5.13693e-09	2.27169e-08	3.93622e-24
7.56342e-09	3.89592e-08	1.73631e-23
5.13546e-09	2.52485e-08	5.79309e-24
3.26815e-09	1.10193e-08	2.6676e-25
1.39655e-08	3.77724e-08	1.68506e-23
3.5879e-09	1.10193e-08	5.94133e-25
5.36688e-09	2.91544e-08	6.30111e-24
7.96405e-09	2.96704e-08	6.55899e-24
6.12667e-09	3.52791e-08	1.11693e-23
4.85882e-09	2.86291e-08	6.9772e-24
3.1734e-09	9.54302e-09	2.51199e-25
6.81328e-09	3.21266e-08	7.75297e-24
4.42322e-09	2.20387e-08	3.96141e-24
7.65846e-09	3.06765e-08	8.95383e-24
3.47794e-09	1.34959e-08	6.13138e-25
4.15993e-09	2.75483e-08	6.52719e-24
6.17424e-09	3.11674e-08	9.61159e-24
5.49581e-09	2.91544e-08	7.86079e-24
7.38037e-09	3.85676e-08	1.36753e-23
1.33599e-08	3.97308e-08	1.99397e-23
8.94782e-09	4.19604e-08	2.27792e-23
7.57717e-09	3.3514e-08	9.77313e-24
5.7647e-09	2.96704e-08	9.26638e-24
4.40192e-09	3.3514e-08	8.92531e-24
6.016e-09	3.25956e-08	9.80833e-24
1.0467e-08	5.67255e-08	5.62037e-23
3.91546e-09	2.80939e-08	5.40641e-24
8.97681e-09	3.3058e-08	1.06858e-23
8.4297e-09	2.80939e-08	6.98864e-24
5.65816e-09	3.21266e-08	8.74678e-24
4.03914e-09	1.98654e-08	2.18918e-24
9.19017e-09	3.21266e-08	1.03242e-23
8.03393e-09	4.92799e-08	2.11894e-23
5.23526e-09	3.3514e-08	9.86162e-24
4.99106e-09	3.16506e-08	7.88173e-24
3.98972e-09	2.13388e-08	3.35005e-24
7.75091e-09	3.16506e-08	1.07848e-23
3.55467e-09	1.6529e-08	1.91515e-24
5.77871e-09	2.52485e-08	5.60051e-24
5.08964e-09	2.80939e-08	6.39483e-24
1.39551e-08	4.15971e-08	2.1271e-23
5.53621e-09	3.21266e-08	9.08979e-24
4.88194e-09	2.69917e-08	6.61094e-24
5.79551e-09	2.52485e-08	4.45805e-24
3.72929e-09	1.98654e-08	2.86161e-24
3.52031e-09	1.45772e-08	1.17521e-24
5.99437e-09	2.464e-08	4.6302e-24
7.1567e-09	2.86291e-08	7.19966e-24
7.5299e-09	3.16506e-08	8.79454e-24
4.75987e-09	2.40161e-08	4.51676e-24
6.07658e-09	3.06765e-08	8.02787e-24
5.01814e-09	2.06153e-08	2.77459e-24
4.848e-09	2.64234e-08	5.10293e-24
5.38367e-09	3.25956e-08	9.27089e-24
3.94427e-09	1.6529e-08	1.84834e-24
3.57344e-09	1.74231e-08	2.0346e-24
6.0979e-09	2.58426e-08	5.55731e-24
7.63197e-09	2.96704e-08	7.54594e-24
5.45593e-09	2.80939e-08	5.92449e-24
4.32697e-09	2.33755e-08	4.4147e-24
7.33193e-09	3.21266e-08	9.07053e-24
5.82559e-09	3.48462e-08	1.00406e-23
3.55521e-09	1.45772e-08	1.00811e-24
7.69411e-09	3.81721e-08	1.71806e-23
6.41894e-09	2.69917e-08	5.80071e-24
4.40696e-09	3.01777e-08	7.40499e-24
8.4207e-09	3.3514e-08	1.19289e-23
5.70983e-09	2.40161e-08	3.82226e-24
6.01148e-09	2.06153e-08	3.84207e-24
4.13282e-09	2.33755e-08	3.62995e-24
7.10035e-09	3.21266e-08	9.37979e-24
4.63552e-09	2.40161e-08	4.30225e-24
